periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Cigading,9276.3
2,Feb,Cigading,5516.0
3,Mar,Cigading,5372.1
7,Jul,Cigading,5896.0
10,Okt,Cigading,5359.7
11,Nov,Cigading,5705.8
12,Des,Cigading,6533.3
