periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Tanjung Priok,20786.8
2,Feb,Tanjung Priok,17119.4
3,Mar,Tanjung Priok,18953.6
4,Apr,Tanjung Priok,12770.3
5,Mei,Tanjung Priok,11377.1
6,Jun,Tanjung Priok,18342.2
7,Jul,Tanjung Priok,18953.6
8,Agu,Tanjung Priok,18953.6
9,Sep,Tanjung Priok,17776.9
10,Okt,Tanjung Priok,18953.6
11,Nov,Tanjung Priok,18342.2
12,Des,Tanjung Priok,18953.6
