periode_t,bulan,produsen_asal,volume_ton
4,Apr,Sumatera Utara,1203.9
5,Mei,Sumatera Utara,1304.3
4,Apr,Jawa Barat,1364.0
5,Mei,Jawa Barat,2932.3
4,Apr,Nusa Tenggara Barat,1459.0
5,Mei,Nusa Tenggara Barat,1580.5
9,Sep,Nusa Tenggara Barat,565.3
4,Apr,Nusa Tenggara Timur,152.0
5,Mei,Nusa Tenggara Timur,164.7
4,Apr,Sulawesi Tengah,738.5
5,Mei,Sulawesi Tengah,885.6
4,Apr,Sulawesi Selatan,577.8
5,Mei,Sulawesi Selatan,626.0
4,Apr,Sulawesi Barat,76.7
5,Mei,Sulawesi Barat,83.1
