periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Panjang,34.7
2,Feb,Banyuwangi,5.1
3,Mar,Tanjung Perak,5.7
4,Apr,Banyuwangi,18.9
5,Mei,Banyuwangi,21.9
6,Jun,Banyuwangi,23.3
7,Jul,Banyuwangi,3.2
8,Agu,Tanjung Perak,3.8
9,Sep,Banyuwangi,3.8
10,Okt,Belawan,32.2
11,Nov,Banyuwangi,7.1
12,Des,Tanjung Perak,14.8
