periode_t,bulan,produsen_asal,volume_ton
1,Jan,Aceh,28.7
2,Feb,Aceh,25.3
3,Mar,Aceh,22.2
4,Apr,Aceh,26.9
5,Mei,Aceh,27.8
6,Jun,Aceh,62.1
7,Jul,Aceh,52.5
8,Agu,Aceh,24.7
9,Sep,Aceh,26.5
10,Okt,Aceh,16.9
11,Nov,Aceh,16.4
12,Des,Aceh,16.9
