periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Banyuwangi,6.2
2,Feb,Banyuwangi,2.0
3,Mar,Tanjung Perak,2.0
4,Apr,Banyuwangi,2.0
5,Mei,Banyuwangi,2.0
6,Jun,Banyuwangi,2.4
7,Jul,Banyuwangi,2.0
8,Agu,Tanjung Perak,2.0
9,Sep,Banyuwangi,2.0
10,Okt,Banyuwangi,5.3
