periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Panjang,42.9
2,Feb,Gresik,18.4
3,Mar,Tanjung Perak,16.6
4,Apr,Gresik,18.5
5,Mei,Banyuwangi,16.6
6,Jun,Banyuwangi,21.1
7,Jul,Banyuwangi,18.6
8,Agu,Pontianak,18.6
9,Sep,Gresik,16.5
10,Okt,Belawan,18.6
11,Nov,Banyuwangi,22.3
12,Des,Pontianak,16.4
